,spiny (1-5),major axis x (basal),major axis y (apical),major axis z (basal),length (1-5),soma,branched
546254140358,3,1,0,1,3,0,0
1067765194641,4,0,0,1,1,0,0
2309937727136,4,1,0,1,1,0,0
442151416423,2,0,1,0,1,0,0
1993494634805,3,1,0,1,1,0,0
2249686519243,1,0,1,0,1,0,0
674600320106,4,0,0,1,1,0,0
1868571312148,5,1,0,1,3,0,1
448925138076,5,0,0,1,1,0,0
1682470727395,1,0,1,0,4,0,0
665615555955,4,1,0,1,1,0,0
2226940681536,4,0,0,1,2,0,0
1938805296301,3,1,0,1,1,0,0
1971319010278,3,1,0,0,2,0,0
380545372853,3,1,0,1,2,0,0
1527385809348,4,1,0,0,3,0,0
528856312358,3,1,0,1,1,0,0
857991465747,4,0,0,1,1,0,0
1882261172731,3,0,1,0,2,0,0
1767677517371,3,1,0,1,3,0,0
2028504211919,3,0,0,1,2,0,1
1483890975254,4,1,0,0,3,0,0
1982941424613,3,1,0,1,2,0,0
341685217781,4,0,1,0,1,0,0
276442812345,4,1,0,0,1,0,0
1132294827229,3,1,0,1,3,0,1
752534784893,4,0,1,0,1,0,0
336408415952,2,1,0,1,2,0,0
1148623049896,1,0,1,0,2,0,0
882519650944,3,0,0,1,1,0,0
541975815482,4,1,0,1,1,0,0
1028548981428,4,1,0,0,2,0,0
1048228180735,4,0,0,1,1,0,0
1873277008289,4,1,0,0,1,0,0
1946862088191,4,0,0,1,2,0,0
2286907178373,3,1,0,0,2,0,0
1559400935096,3,1,0,1,4,0,1
539908169834,5,0,0,1,2,0,1
1591558313023,4,0,0,1,3,0,0
1952922609271,4,0,0,1,2,0,0